Date,Closing Price,Daily Tweets,Pos Sentiment
2017-12-07,2.65,75.0,0.11181333333333332
2017-12-08,2.65,31.0,0.17393548387096772
2017-12-11,2.56,52.0,0.18705769230769234
2017-12-12,2.52,29.0,0.1716551724137931
2017-12-13,2.57,33.0,0.2218787878787879
2017-12-14,2.66,32.0,0.20578124999999997
2017-12-15,2.66,61.0,0.18440983606557382
2017-12-18,2.85,48.0,0.08491666666666668
2017-12-19,2.85,32.0,0.11109375000000002
2017-12-20,2.8,51.0,0.14754901960784314
2017-12-21,2.8,29.0,0.1936551724137931
2017-12-22,2.85,23.0,0.2092608695652174
2017-12-26,2.7,11.0,0.19827272727272727
2017-12-27,2.7,13.0,0.07015384615384615
2017-12-28,2.7,33.0,0.06609090909090909
2017-12-29,2.68,10.0,0.1938
2018-01-02,2.85,38.0,0.12121052631578945
2018-01-03,2.86,46.0,0.1583913043478261
2018-01-04,2.88,45.0,0.13404444444444447
2018-01-05,2.68,40.0,0.16082500000000002
2018-01-08,2.89,40.0,0.17875000000000002
2018-01-09,3.0,32.0,0.14540624999999996
2018-01-10,3.0,45.0,0.11413333333333334
2018-01-11,3.0,58.0,0.124
2018-01-12,2.9,55.0,0.21269090909090896
2018-01-16,3.0,42.0,0.17242857142857146
2018-01-17,3.0,40.0,0.158675
2018-01-18,3.0,52.0,0.1573653846153846
2018-01-19,3.0,53.0,0.1958301886792453
2018-01-22,3.27,119.0,0.15063025210084027
2018-01-23,3.19,57.0,0.1619649122807017
2018-01-24,3.19,50.0,0.15856000000000006
2018-01-25,3.19,58.0,0.20337931034482762
2018-01-26,3.11,63.0,0.17576190476190473
2018-01-29,3.07,30.0,0.1976
2018-01-30,3.15,67.0,0.2145970149253731
2018-01-31,3.15,33.0,0.16469696969696973
2018-02-01,3.15,22.0,0.09672727272727273
2018-02-02,2.94,24.0,0.23775000000000002
2018-02-05,2.81,33.0,0.1628181818181818
2018-02-06,2.88,41.0,0.2014878048780488
2018-02-07,2.88,40.0,0.21302500000000002
2018-02-08,2.9,74.0,0.13804054054054052
2018-02-09,2.9,120.0,0.14731666666666668
2018-02-12,2.9,55.0,0.19343636363636363
2018-02-13,3.01,55.0,0.12178181818181819
2018-02-14,3.01,100.0,0.11774
2018-02-15,3.01,138.0,0.11777536231884059
2018-02-16,3.01,67.0,0.15770149253731341
2018-02-20,3.17,55.0,0.17843636363636364
2018-02-21,3.13,51.0,0.18196078431372545
2018-02-22,3.1275,48.0,0.16929166666666665
2018-02-23,3.13,36.0,0.12236111111111109
