Date,daily_tweets,neg_sentiment,pos_sentiment,compound_sentiment,closing_price
2018-09-07,14,86,86,86,12.26
2018-09-10,15,68,68,68,11.95
2018-09-11,107,218,218,218,12.7
2018-09-12,67,167,167,167,13.1
2018-09-13,48,157,157,157,13.09
2018-09-14,43,143,143,143,13.13
2018-09-17,33,114,114,114,12.56
2018-09-18,45,255,255,255,12.89
2018-09-19,48,274,274,274,12.75
2018-09-20,31,170,170,170,12.84
2018-09-21,32,129,129,129,12.5
2018-09-24,39,137,137,137,12.51
2018-09-25,44,177,177,177,12.52
2018-09-26,32,163,163,163,12.46
2018-09-27,23,176,176,176,12.07
2018-09-28,30,108,108,108,12.44
2018-10-01,32,96,96,96,12.24
2018-10-02,73,152,152,152,13.54
2018-10-03,41,175,175,175,12.85
2018-10-04,34,147,147,147,12.59
2018-10-05,33,151,151,151,12.48
2018-10-08,38,121,121,121,11.99
2018-10-09,48,123,123,123,12.12
2018-10-10,66,145,145,145,11.19
2018-10-11,38,128,128,128,11.38
2018-10-12,37,112,112,112,12.22
2018-10-15,97,169,169,169,12.41
2018-10-16,46,229,229,229,13.16
2018-10-17,21,141,141,141,13.05
2018-10-18,51,159,159,159,12.72
2018-10-19,71,159,159,159,12.73
2018-10-22,23,121,121,121,12.79
2018-10-23,26,143,143,143,12.38
2018-10-24,39,167,167,167,11.75
2018-10-25,20,183,183,183,11.86
2018-10-26,31,202,202,202,11.44
2018-10-29,203,350,350,350,11.5
2018-10-30,45,213,213,213,11.96
2018-10-31,46,168,168,168,12.26
2018-11-01,63,151,151,151,12.6
2018-11-02,30,121,121,121,13.12
2018-11-05,26,203,203,203,12.66
2018-11-06,28,241,241,241,12.97
2018-11-07,73,224,224,224,13.19
2018-11-08,76,224,224,224,12.59
2018-11-09,70,161,161,161,12.3
2018-11-12,27,107,107,107,12.44
2018-11-13,32,127,127,127,12.13
2018-11-14,47,149,149,149,12.59
2018-11-15,63,141,141,141,13.12
2018-11-16,50,138,138,138,13.07
2018-11-19,23,87,87,87,12.79
2018-11-20,22,90,90,90,11.8
2018-11-21,34,114,114,114,12.29
2018-11-23,14,70,70,70,12.42
2018-11-26,28,167,167,167,13.03
2018-11-27,112,254,254,254,14.11
2018-11-28,76,189,189,189,14.53
